code_muni,nome_adapta,ano_adapta,valor_txt,susceptibilidade,classe_original,tipo_risco,categoria
2930709,SimÃµes Filho/BA,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2313807,Uruburetama/CE,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3200201,Alegre/ES,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
3101508,AlÃ©m ParaÃ­ba/MG,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
2401008,Apodi/RN,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
2700409,Atalaia/AL,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
2906709,CÃ¢ndido Sales/BA,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
3515004,Embu das Artes/SP,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
3202207,FundÃ£o/ES,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
5208707,GoiÃ¢nia/GO,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
2912301,IbicuÃ­/BA,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
2607950,Jaqueira/PE,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
3140308,MarliÃ©ria/MG,2015,0.77,0.77,Alto,Deslizamento de terra,Alto
